"condition","init","percent_bias","where_bias","level_bias","who_biased","size_net","mean_cond","std_cond"
"5",5,20,7,"lowest","cluscoeff",150,0.058151314979425,0.0273569036506253
"5",5,20,7,"lowest","degree",150,0.061196157730469,0.0288740198653045
"5",5,20,7,"random","none",150,0.0559434655390034,0.0258470925707032
"5",20,0,NA,"none","none",150,0.0336039708476425,0.0157743891353959
"5",20,20,7,"highest","centbet",150,0.0287140792671779,0.0137695698091946
"5",20,20,7,"highest","centclos",150,0.0298211945730302,0.0147842480127702
"5",20,20,7,"highest","centeigen",150,0.0295659443684731,0.0148466713051858
"5",20,20,7,"highest","cluscoeff",150,0.030094067176173,0.0145130522163725
"5",20,20,7,"highest","degree",150,0.0281502993275691,0.0140145315576213
"5",20,20,7,"lowest","centbet",150,0.0315859053282701,0.0149921272593855
"5",20,20,7,"lowest","centclos",150,0.0306104108398255,0.0148499763644319
"5",20,20,7,"lowest","centeigen",150,0.0313414467836736,0.0155514102615465
"5",20,20,7,"lowest","cluscoeff",150,0.0305028600598592,0.0144916647199853
"5",20,20,7,"lowest","degree",150,0.0311677542970244,0.0154229045490114
"5",20,20,7,"random","none",150,0.0316123199917935,0.0155201067356714
"6",0,0,NA,"none","none",150,0.100778668911616,0.042546814208233
"6",0,20,7,"highest","centbet",150,0.0720032339944641,0.0304987873127107
"6",0,20,7,"highest","centclos",150,0.0789912123761905,0.0389443069338851
"6",0,20,7,"highest","centeigen",150,0.0765712573375774,0.0360733323455676
"6",0,20,7,"highest","cluscoeff",150,0.0815508533327615,0.0368357082956563
"6",0,20,7,"highest","degree",150,0.0695832005734412,0.0307080301583682
"6",0,20,7,"lowest","centbet",150,0.0847460944065898,0.0380298303450303
"6",0,20,7,"lowest","centclos",150,0.0870995590769691,0.039715585826596
"6",0,20,7,"lowest","centeigen",150,0.0878735230167687,0.0419376654442307
"6",0,20,7,"lowest","cluscoeff",150,0.0808162531713056,0.0366653815679953
"6",0,20,7,"lowest","degree",150,0.0840357449033464,0.0376862622200344
"6",0,20,7,"random","none",150,0.0839772718558515,0.0364127299980789
"6",5,0,NA,"none","none",150,0.0656601222853185,0.0293520614079356
"6",5,20,7,"highest","centbet",150,0.0511213252628837,0.0228507027847893
"6",5,20,7,"highest","centclos",150,0.054580986388574,0.0268003608399068
"6",5,20,7,"highest","centeigen",150,0.0541628308399009,0.0260492076812009
"6",5,20,7,"highest","cluscoeff",150,0.0561041750236015,0.0263643739791872
"6",5,20,7,"highest","degree",150,0.0503283594195535,0.0223825210899328
"6",5,20,7,"lowest","centbet",150,0.0598625597022698,0.0282920719350582
"6",5,20,7,"lowest","centclos",150,0.0576749585012946,0.0278538143956001
"6",5,20,7,"lowest","centeigen",150,0.057243019893099,0.0273210653735206
"6",5,20,7,"lowest","cluscoeff",150,0.0563627696930455,0.025438789139997
"6",5,20,7,"lowest","degree",150,0.0586203976348423,0.0265320514697353
"6",5,20,7,"random","none",150,0.0563543618901431,0.0251434592371087
"6",20,0,NA,"none","none",150,0.0336961993320284,0.0154982119972473
"6",20,20,7,"highest","centbet",150,0.0275816533372827,0.0132458534806836
"6",20,20,7,"highest","centclos",150,0.0295123059735721,0.0146089921407595
"6",20,20,7,"highest","centeigen",150,0.0295458026506812,0.0146260464247806
"6",20,20,7,"highest","cluscoeff",150,0.0300332781200068,0.0147722126881936
"6",20,20,7,"highest","degree",150,0.0280902395266348,0.0132342665160554
"6",20,20,7,"lowest","centbet",150,0.030694390809251,0.0147948915462573
"6",20,20,7,"lowest","centclos",150,0.030191941206654,0.0148384166874066
"6",20,20,7,"lowest","centeigen",150,0.0313471456368139,0.0161072871385603
"6",20,20,7,"lowest","cluscoeff",150,0.0311063073260943,0.0155089557552929
"6",20,20,7,"lowest","degree",150,0.031266737050293,0.0157672032439294
"6",20,20,7,"random","none",150,0.0307887002303453,0.0147644861089674
"7",0,0,NA,"none","none",150,0.10088180994443,0.0418383514502873
"7",0,20,7,"highest","centbet",150,0.363381803769936,0.0740379904132058
"7",0,20,7,"highest","centclos",150,0.311151705197147,0.137962111247844
"7",0,20,7,"highest","centeigen",150,0.299791057519845,0.148809430804721
"7",0,20,7,"highest","cluscoeff",150,0.265109676656718,0.0921214693598283
"7",0,20,7,"highest","degree",150,0.371699126565833,0.0787145350380272
"7",0,20,7,"lowest","centbet",150,0.228356410856368,0.0760240331447348
"7",0,20,7,"lowest","centclos",150,0.216118339722559,0.144613705009983
"7",0,20,7,"lowest","centeigen",150,0.221865850008672,0.151321211642077
"7",0,20,7,"lowest","cluscoeff",150,0.264595860585236,0.0927704128244912
"7",0,20,7,"lowest","degree",150,0.232222567108987,0.0774140450722835
"7",0,20,7,"random","none",150,0.265743344136212,0.0954411469070321
"7",5,0,NA,"none","none",150,0.0672927508643324,0.0286881005764665
"7",5,20,7,"highest","centbet",150,0.286652515615779,0.0676216779744387
"7",5,20,7,"highest","centclos",150,0.240574203127446,0.120707578539238
"7",5,20,7,"highest","centeigen",150,0.235678365290584,0.130023051245338
"7",5,20,7,"highest","cluscoeff",150,0.203161551143649,0.0791633149650327
"7",5,20,7,"highest","degree",150,0.285850932504404,0.0662606720755956
"7",5,20,7,"lowest","centbet",150,0.176182949942835,0.0645638067649121
"7",5,20,7,"lowest","centclos",150,0.171277798704855,0.126752126218833
"7",5,20,7,"lowest","centeigen",150,0.170121482067708,0.13075162201107
"7",5,20,7,"lowest","cluscoeff",150,0.200935680891305,0.0768847615104428
"7",5,20,7,"lowest","degree",150,0.174997290058631,0.0650522289160448
"7",5,20,7,"random","none",150,0.204849632676237,0.08031875556057
"7",20,0,NA,"none","none",150,0.0333110953357486,0.0153254147117333
"7",20,20,7,"highest","centbet",150,0.177461683345778,0.0465525801256417
"7",20,20,7,"highest","centclos",150,0.150126535330247,0.0856537220639307
"7",20,20,7,"highest","centeigen",150,0.145741495804704,0.0884058194934192
"7",20,20,7,"highest","cluscoeff",150,0.12402044163807,0.0533206855255346
"7",20,20,7,"highest","degree",150,0.17639826038654,0.0466028416930837
"7",20,20,7,"lowest","centbet",150,0.107341167685539,0.0455620195155087
"7",20,20,7,"lowest","centclos",150,0.104745770237849,0.0897219021644845
"7",20,20,7,"lowest","centeigen",150,0.104303762349733,0.0974237120766734
"7",20,20,7,"lowest","cluscoeff",150,0.124378749459432,0.0542191505848377
"7",20,20,7,"lowest","degree",150,0.106896733654486,0.0441700408954633
"7",20,20,7,"random","none",150,0.120979278461332,0.0533943388953339
"8",0,0,NA,"none","none",150,0.101722775232208,0.043065774459666
"8",0,20,7,"highest","centbet",150,0.0703080040300052,0.0296089033380371
"8",0,20,7,"highest","centclos",150,0.0768337962602932,0.0362195740752037
"8",0,20,7,"highest","centeigen",150,0.0761541971241585,0.0371401078330139
