"rep_id","size_net","clus_coeff","pathlength","init_mode","assortativity","init","neighbors","where_bias","level_bias","who_biased","percent_bias","bet_biased","bet_unbiased","clus_biased","clus_unbiased","eigen_biased","eigen_unbiased","clos_biased","close_unbiased","assor_biased","assor_unbiased","deg_biased","deg_unbiased","old_rep_id","klb","mean_entrop_jef","std_entrop_jef","mean_entrop_lap","std_entrop_lap","mean_sum_meas","std_sum_meas","mean_ratio_first","std_ratio_first","mean_value_lang","sd_value_lang","mean_max_cond","sd_max_cond","mean_of_std","std_of_mean"
3315,150,0.0797421790455846,"2.25422818791946",0.540094333729483,-0.0455999591529161,0,12.1866666666667,NA,"none","none",0,"<RuntimePrimitiveException>","93.44","<RuntimePrimitiveException>","0.0797421790455846","<RuntimePrimitiveException>","0.555099102578801","<RuntimePrimitiveException>","0.445147549378468","<RuntimePrimitiveException>","0.912835277720127","<RuntimePrimitiveException>","12.1866666666667",15,0.000138763400783167,2.28274120529081,0.00156917648436388,2.28275201945354,0.00156857405358593,36570,10105.802705483,0.131605884917115,0.00284851429782837,5.43484598790426,0.0272869075152977,9.77333333333333,1.15361507466406,0.00234706981980458,0.0207563930642902
3316,150,0.0828052906845475,"2.25950782997763",0.537828874623805,0.00417391847888721,0,12.28,NA,"none","none",0,"<RuntimePrimitiveException>","93.8333333333333","<RuntimePrimitiveException>","0.0828052906845475","<RuntimePrimitiveException>","0.621027701579888","<RuntimePrimitiveException>","0.443772173234602","<RuntimePrimitiveException>","0.930258399611288","<RuntimePrimitiveException>","12.28",16,0.000139538174430497,2.27270036408157,0.00192166657184831,2.27271641898816,0.0019208311819242,36824.5695364238,9223.4512510303,0.13500242385007,0.00273437254023191,5.43145368434773,0.0229675904582221,1.33112582781457,1.01141389025223,0.00233287293180513,0.0252689106627759
3317,150,0.0800642891680042,"2.28223713646532",0.568872563266465,0.0189848196183289,0,11.8533333333333,NA,"none","none",0,"<RuntimePrimitiveException>","95.5266666666667","<RuntimePrimitiveException>","0.0800642891680042","<RuntimePrimitiveException>","0.523286282071495","<RuntimePrimitiveException>","0.439735683328753","<RuntimePrimitiveException>","0.912630373174215","<RuntimePrimitiveException>","11.8533333333333",18,0.000137846359703005,2.27839139943916,0.0017837484632225,2.27840454985445,0.00178095803457804,35570,9894.39540359514,0.158436821608209,0.00244050142844872,5.74739630412254,0.0185642230438164,9,0,0.00231951771868965,0.0241331228352077
3318,150,0.0773079076988082,"2.25825503355705",0.556816205262307,-0.00429500518315069,0,12.1333333333333,NA,"none","none",0,"<RuntimePrimitiveException>","93.74","<RuntimePrimitiveException>","0.0773079076988082","<RuntimePrimitiveException>","0.485093477312942","<RuntimePrimitiveException>","0.444211205222104","<RuntimePrimitiveException>","0.919213115599218","<RuntimePrimitiveException>","12.1333333333333",17,0.000126909562612372,2.2888120784387,0.0011405298452973,2.28881921298645,0.00113999334469056,36410,9748.5156330069,0.144093366747056,0.00238084085126251,5.54548862185795,0.0277642031413977,8,0,0.00223770614657219,0.0179951377405203
3319,150,0.0753691775487441,"2.27982102908277",0.543961421545609,-0.0183726446761853,0,11.88,NA,"none","none",0,"<RuntimePrimitiveException>","95.3466666666666","<RuntimePrimitiveException>","0.0753691775487441","<RuntimePrimitiveException>","0.574642313722875","<RuntimePrimitiveException>","0.439854228791789","<RuntimePrimitiveException>","0.921364635905013","<RuntimePrimitiveException>","11.88",19,0.00014391052928529,2.29568028026673,0.00079626764570505,2.29568395712781,0.000795856986028749,35650,8901.6098385697,0.123902733975047,0.00254967059987144,5.74128865461226,0.0204391882099227,7,0,0.00238096139238308,0.0122655694654567
3320,150,0.0851826357337192,"2.26093959731544",0.571882844787443,-0.0175452676635409,0,12.1733333333333,NA,"none","none",0,"<RuntimePrimitiveException>","93.94","<RuntimePrimitiveException>","0.0851826357337192","<RuntimePrimitiveException>","0.541179891641513","<RuntimePrimitiveException>","0.443605970426175","<RuntimePrimitiveException>","0.927125152513403","<RuntimePrimitiveException>","12.1733333333333",20,0.000151363407270955,2.29552635350738,0.000944427401174079,2.29553022866924,0.000943701317627651,36530,9478.84964560715,0.118929695695409,0.00254005766334532,5.59543631391531,0.0273272213759701,6.98666666666667,0.163299316185545,0.00243941976712133,0.0119833900217107
3321,150,0.0758105852982013,"2.25691275167785",0.5503703666799,-0.0121752873096897,0,12.2666666666667,NA,"none","none",0,"<RuntimePrimitiveException>","93.64","<RuntimePrimitiveException>","0.0758105852982013","<RuntimePrimitiveException>","0.556381939386897","<RuntimePrimitiveException>","0.444457745573045","<RuntimePrimitiveException>","0.917632911338017","<RuntimePrimitiveException>","12.2666666666667",21,0.000116052576212887,2.2907033571345,0.00106318034349168,2.29070996142822,0.00106263310888793,36810,9754.70975560562,0.120133930885145,0.00262494735549372,5.46314380393179,0.0168065315493484,5,0,0.00213574619288689,0.0153648547320454
3322,150,0.0759737796889499,"2.28295302013423",0.588121440021991,-0.0181165806776415,0,11.7733333333333,NA,"none","none",0,"<RuntimePrimitiveException>","95.5800000000001","<RuntimePrimitiveException>","0.0759737796889499","<RuntimePrimitiveException>","0.518964305349849","<RuntimePrimitiveException>","0.43944934419735","<RuntimePrimitiveException>","0.906761291992099","<RuntimePrimitiveException>","11.7733333333333",22,0.000132353147989912,2.27465233410581,0.00156841564402974,2.27466809256216,0.00156702838650541,35330,10014.2985024736,0.137415383163282,0.00235084385801814,5.7262094470976,0.0249059036270352,7.74666666666667,0.667426859644854,0.00227944038317208,0.0247345649681948
3323,150,0.0712717022113306,"2.29753914988814",0.585361544449274,0.00920906236879783,0,11.5866666666667,NA,"none","none",0,"<RuntimePrimitiveException>","96.6666666666666","<RuntimePrimitiveException>","0.0712717022113306","<RuntimePrimitiveException>","0.559437958584762","<RuntimePrimitiveException>","0.436390053012708","<RuntimePrimitiveException>","0.925184210326473","<RuntimePrimitiveException>","11.5866666666667",23,0.000152532803519028,2.28525617028652,0.0016292485222068,2.2852658355037,0.00162803841796738,34707.3684210526,8725.42108791205,0.129106151612617,0.00287875979481973,5.62206073229597,0.0259968504510303,8.54605263157895,1.52610318707777,0.00244590123221463,0.0194933308604325
3324,150,0.0778228506386401,"2.27167785234899",0.565250358249241,0.00353403383069878,0,12.0666666666667,NA,"none","none",0,"<RuntimePrimitiveException>","94.74","<RuntimePrimitiveException>","0.0778228506386401","<RuntimePrimitiveException>","0.511089007434156","<RuntimePrimitiveException>","0.441620914141496","<RuntimePrimitiveException>","0.923371865522588","<RuntimePrimitiveException>","12.0666666666667",24,0.000122814858633575,2.26973111030975,0.00164671697751036,2.26974854720028,0.00164627795048003,36210,9853.28616869254,0.165567105364162,0.00258053250766117,5.77204488415558,0.0190062694350316,9,0,0.0022007951357463,0.0279342266711725
