"condition","init","percent_bias","where_bias","level_bias","who_biased","size_net","rewire","mean_cond","std_cond"
"2",5,20,7,"lowest","centbet",150,0.1,0.0577504577062152,0.0228908516349522
"2",5,20,7,"lowest","centbet",150,0.9,0.0589986106531117,0.0128714131712074
"2",5,20,7,"lowest","centclos",150,0.1,0.0587058586106019,0.0240706994114508
"2",5,20,7,"lowest","centclos",150,0.9,0.0604926978924612,0.0129167224684541
"2",5,20,7,"lowest","centeigen",150,0.1,0.0600898860266246,0.0244111833659445
"2",5,20,7,"lowest","centeigen",150,0.9,0.0602489796940975,0.0132974262333607
"2",5,20,7,"lowest","cluscoeff",150,0.1,0.0566088338164312,0.0236036086531495
"2",5,20,7,"lowest","cluscoeff",150,0.9,0.0572236199975655,0.0125192346086734
"2",5,20,7,"lowest","degree",150,0.1,0.0573872170223917,0.0222977472582289
"2",5,20,7,"lowest","degree",150,0.9,0.0588016053029196,0.0130469063636266
"2",5,20,7,"random","none",150,0.1,0.0572060445362653,0.0219255771699155
"2",5,20,7,"random","none",150,0.9,0.0560888895324315,0.0123825334136179
"2",20,0,NA,"none","none",150,0.1,0.033240557452786,0.0139960925258313
"2",20,0,NA,"none","none",150,0.9,0.0325892628420462,0.00796524410311746
"2",20,20,7,"highest","centbet",150,0.1,0.0300882212122517,0.0131749916360404
"2",20,20,7,"highest","centbet",150,0.9,0.0298150639382942,0.00740757873147673
"2",20,20,7,"highest","centclos",150,0.1,0.0295859794627652,0.0132037380255957
"2",20,20,7,"highest","centclos",150,0.9,0.0297021482105717,0.0073309977341956
"2",20,20,7,"highest","centeigen",150,0.1,0.0303796364253202,0.0131245507758611
"2",20,20,7,"highest","centeigen",150,0.9,0.0292420227809742,0.00705137384871033
"2",20,20,7,"highest","cluscoeff",150,0.1,0.0302559972926043,0.0134068380752494
"2",20,20,7,"highest","cluscoeff",150,0.9,0.0304915361529258,0.00787549300208368
"2",20,20,7,"highest","degree",150,0.1,0.0293155113977346,0.0131312472761155
"2",20,20,7,"highest","degree",150,0.9,0.0292336901525424,0.00728035945439423
"2",20,20,7,"lowest","centbet",150,0.1,0.0310360505828875,0.0131725850339999
"2",20,20,7,"lowest","centbet",150,0.9,0.0311790971039268,0.00755224216014657
"2",20,20,7,"lowest","centclos",150,0.1,0.029860471950299,0.0131448582365687
"2",20,20,7,"lowest","centclos",150,0.9,0.0307557819178325,0.00779999808458061
"2",20,20,7,"lowest","centeigen",150,0.1,0.0301358115012741,0.0130770680912032
"2",20,20,7,"lowest","centeigen",150,0.9,0.0317771389615512,0.00779318490076568
"2",20,20,7,"lowest","cluscoeff",150,0.1,0.0308924336543941,0.0137232878604345
"2",20,20,7,"lowest","cluscoeff",150,0.9,0.0307726479406634,0.00771115688159539
"2",20,20,7,"lowest","degree",150,0.1,0.031076643795723,0.0133128582026906
"2",20,20,7,"lowest","degree",150,0.9,0.0303576322117837,0.00734750716372557
"2",20,20,7,"random","none",150,0.1,0.0302156713728499,0.0129633488869325
"2",20,20,7,"random","none",150,0.9,0.030752794047504,0.00747305154235888
"3",0,0,NA,"none","none",150,0.1,0.100447880020832,0.0359849893641468
"3",0,0,NA,"none","none",150,0.9,0.10030582433104,0.020164250487728
"3",0,20,7,"highest","centbet",150,0.1,0.0822155854278539,0.0317918275455617
"3",0,20,7,"highest","centbet",150,0.9,0.077879443122054,0.0167971735725426
"3",0,20,7,"highest","centclos",150,0.1,0.0818459997832867,0.0336814867459937
"3",0,20,7,"highest","centclos",150,0.9,0.0784708694813304,0.0181244905596841
"3",0,20,7,"highest","centeigen",150,0.1,0.0835223220061342,0.0342309670059683
"3",0,20,7,"highest","centeigen",150,0.9,0.0791917132422609,0.017452255419535
"3",0,20,7,"highest","cluscoeff",150,0.1,0.0794668932324515,0.0297969296447824
"3",0,20,7,"highest","cluscoeff",150,0.9,0.0793874038512897,0.0171238633380898
"3",0,20,7,"highest","degree",150,0.1,0.080062585301311,0.0308146264445409
"3",0,20,7,"highest","degree",150,0.9,0.0790113184906903,0.0153497895603263
"3",0,20,7,"lowest","centbet",150,0.1,0.0833435130491555,0.0311137781380558
"3",0,20,7,"lowest","centbet",150,0.9,0.0861952636287283,0.0174664539745203
