"rep_id","size_net","clus_coeff","pathlength","init_mode","assortativity","init","neighbors","exponent","klb","mean_entrop_jef","std_entrop_jef","mean_entrop_lap","std_entrop_lap","mean_sum_meas","std_sum_meas","mean_ratio_first","std_ratio_first","mean_value_lang","sd_value_lang","mean_max_cond","sd_max_cond","mean_of_std","std_of_mean"
73,50,0,3.96408163265306,0.52358781252018,-0.37795622736577,0,1.96,2.56326590857064,0.0345836036149606,2.21409942049417,0.0287027626968355,2.2145453645264,0.0285305984445962,5890,6413.1242982891,0.174533695773813,0.0180471221937413,5.33373416631977,0.317499263287593,4.38,2.4065387118076,0.036421068636604,0.0206879792619951
74,50,0,3.70122448979592,0.576918774507141,-0.367332420367439,0,1.96,2.65087820220755,0.0365867384652113,2.1950378628199,0.041759091734196,2.19559623965488,0.0415120253998555,5890,7272.08809807214,0.189374397132232,0.0293626988799589,5.44345451986628,0.296908143677723,6.12,2.06664472228859,0.0374615586482429,0.0267645494818689
75,50,0,3.75591836734694,0.53469660151235,-0.334174855981023,0,1.96,3.18589383052364,0.0244991528470032,2.19430586911551,0.0312837700822163,2.19486606191513,0.0311113200669967,5890,7272.08809807214,0.177536502273139,0.0263998887853116,5.32280078926282,0.50094961376266,4.74,2.63268311958794,0.0303147862138147,0.0345400947538117
76,50,0,3.61632653061224,0.574540485926093,-0.343624810056637,0,1.96,2.78592949487482,0.0145914190403562,2.24004563715468,0.0244999259595597,2.24036574381599,0.0243532820020446,5890,7014.96941678061,0.164785143002831,0.021924036095422,5.44995316555617,0.250670863026606,4.48,2.32326301145784,0.0236308975438341,0.0270779981678913
77,50,0,3.93551020408163,0.529159024080815,-0.335765309237438,0,1.96,2.97249438324914,0.0344136559021011,2.20547977324688,0.0239143199632423,2.20594179046496,0.0237668034808483,5890,6384.41981126951,0.2031578084065,0.0324637948056969,5.85267530196174,0.364711143071196,7.44,2.18678778493171,0.035340739736878,0.0276072467402246
78,50,0,3.82122448979592,0.566221659790064,-0.236208044588029,0,1.96,2.88465883952668,0.0250696409524706,2.2036224242008,0.0320154484565932,2.20408019917447,0.0318430849457677,5890,6384.41981126951,0.201177002444377,0.0294661039831917,6.06295716538061,0.225691809513779,8.18,1.92396274731639,0.0305917763884632,0.0337582853396168
79,50,0,4.05551020408163,0.537233475961048,-0.237336760003586,0,1.96,2.89649035167263,0.018068278692052,2.24630128632361,0.0200671037621198,2.24657308485055,0.0199427871628173,5890,6120.02400955675,0.164298648842599,0.0225460868073228,5.58488490582118,0.287169169576705,6.46,2.78633692675307,0.0263754217138993,0.0214414572215962
80,50,0,4.24734693877551,0.592477212717512,-0.255025455308875,0,1.96,2.72730356641963,0.0238912942058885,2.21946110778327,0.0273268346522657,2.21986594012557,0.0271630198825636,5890,5419.69198612705,0.173352023561142,0.0179338575687586,5.77522809339344,0.340797667999135,5.92,3.14181801003229,0.0308235607514375,0.02727747575788
81,50,0,3.95836734693878,0.587909106637556,-0.376196473551638,0,1.96,2.9818500844067,0.0384151600545718,2.17610245282043,0.0436233537857417,2.17670852244666,0.0433858342543351,5890,6720.78712591291,0.214007010354054,0.0304922987551838,5.30826934525898,0.214547605201593,4.64,2.65545261140706,0.0383837645077073,0.0357415357114207
82,50,0,3.85142857142857,0.534478668029875,-0.298705255140899,0,1.96,2.58577668029882,0.036912465073629,2.19080782486828,0.0543402050692202,2.19136091408757,0.0540632605107881,5890,6120.02400955675,0.203420335218619,0.0451817427564419,5.52334937120697,0.391163188404733,6.94,2.11322367148257,0.0348125258914463,0.0297183820774493
