"rep_id","size_net","clus_coeff","pathlength","init_mode","assortativity","init","connec","neighbors","klb","mean_entrop_jef","std_entrop_jef","mean_entrop_lap","std_entrop_lap","mean_sum_meas","std_sum_meas","mean_ratio_first","std_ratio_first","mean_value_lang","sd_value_lang","mean_max_cond","sd_max_cond","mean_of_std","std_of_mean"
459,150,0.540399976264434,"1.4585234899328858",0.578700754392101,-0.00364762875139805,5,0.55,80.68,3.34419489050797e-06,1.89489549020012,0.00133349099665889,1.89492287758581,0.00133364241165495,242055,16207.0827171747,0.426118651398118,0.00071635622463612,4.94319261494528,0.00294107135095908,4,0,0.000360803961549168,0.118186122825
460,150,0.561400524588838,"1.4390156599552573",0.584246388118681,-0.0149823824096255,5,0.55,83.5866666666667,3.38762122804474e-06,1.93640532440246,0.00115200112500773,1.93643053517028,0.00115178378515228,250775,18184.2471836913,0.389519558436215,0.000644028796712988,4.90575387000813,0.00327351353251347,4,0,0.000361623979895856,0.107007626555703
461,150,0.659997309377171,"1.3412080536912752",0.570767214804685,-0.0205109555498144,5,0.65,98.16,2.2480727612045e-06,2.04853168557231,0.000845080360592668,2.04854589723102,0.000845065966611125,294495,19781.2601983179,0.34985084668306,0.000536891335245799,5.31608321989298,0.0025485888313192,4,0,0.000297624226097103,0.0901322258675165
462,150,0.658729173486872,"1.341565995525727",0.562705048376595,-0.00382284237499159,5,0.65,98.1066666666667,2.41164923420152e-06,2.06576517185669,0.000782782489427524,2.0657789976283,0.000782689114005366,294335,17743.6329444428,0.322632025465837,0.000500925555202417,4.78896026936535,0.00266711728238662,4,0,0.000307179770963354,0.083331761984795
463,150,0.652900301727051,"1.3472930648769574",0.59692691812187,-0.0190083951477509,5,0.65,97.2533333333333,2.08987479401549e-06,1.93220353502726,0.00103302427941761,1.93222490085552,0.00103315557857531,291775,18141.0136386842,0.394604304572325,0.000584262082366947,5.25413053923569,0.00243219333981259,4,0,0.000286843052958612,0.108728621325742
464,150,0.652807613755671,"1.3480984340044744",0.540573453413512,-0.0037092772740763,5,0.65,97.1333333333333,2.25641061481882e-06,2.02899977674333,0.00088429208585007,2.02901485040446,0.000884287934476072,291415,18950.3059067586,0.36845692005667,0.000505245280844223,5.0142658581798,0.00235111174202795,4,0,0.000296391828042845,0.0957172175854419
465,150,0.650893551892413,"1.349261744966443",0.55750028781831,-0.0223469075936546,5,0.65,96.96,2.16393446707423e-06,1.83556729314181,0.0011567992250208,1.83559372830832,0.00115674295107815,290895,18203.148927383,0.453364591017404,0.000567296423143536,4.66948401228341,0.00308648789247789,4,0,0.000288296423933309,0.12737809799721
466,150,0.65005772196168,"1.3497091722595078",0.541994182552454,-0.0141077302534725,5,0.65,96.8933333333333,2.25184593912395e-06,2.0591053154841,0.000739115200446745,2.05911936817099,0.00073913143999427,290695,16892.6019310229,0.340766581948681,0.000472774194036307,5.00143392237911,0.00245531500950285,4,0,0.000296245050863126,0.0871775413980534
467,150,0.64915373399366,"1.3509619686800896",0.576719900909617,-0.0130249693550249,5,0.65,96.7066666666667,2.13372728823499e-06,1.92003955936942,0.0010455079585649,1.92006056814464,0.00104543086420368,290135,17135.4336755252,0.428384153275192,0.000552049013464364,4.80026237945771,0.00220645136656904,4,0,0.00028685289166849,0.116565407524205
468,150,0.64319476315545,"1.35668903803132",0.53750424449447,-0.010050295374215,5,0.65,95.8533333333333,2.74064221990766e-06,2.09434974744556,0.000691860758460826,2.09436211319146,0.000691805345919183,287575,17404.1883410885,0.305494138777339,0.00047303930005518,5.19015087313173,0.00314438132930895,4,0,0.000327298356360643,0.0776165159566241
469,150,0.655568822901337,"1.3446979865771813",0.522993644122128,-0.0105612322545154,5,0.65,97.64,2.33319179594323e-06,2.07492161181316,0.000761068439158727,2.07493454075798,0.000760976170385737,292935,17476.5499643871,0.330155324690798,0.000517526668219597,5.41691568595226,0.00253929949524051,4,0,0.000302867460739242,0.083864644555448
470,150,0.650659862342882,"1.3485458612975392",0.560483999858336,-0.012407024175074,5,0.65,97.0666666666667,2.24674253233493e-06,1.97336658036173,0.000878194956914132,1.97338597197502,0.00087826197870953,291215,16653.1936594877,0.373869475255922,0.000493951624879099,5.09975423292276,0.00280335715426605,4,0,0.000294862886395161,0.10099815748976
471,150,0.751555212352278,"1.2485906040268457",0.557984153537593,-0.0204437227906007,5,0.75,111.96,1.30522966119849e-06,1.85137358531192,0.000914246199053356,1.85139573102298,0.000914076064983377,335895,16394.4334962947,0.453834758601201,0.000452438920730873,5.20751118424511,0.00217591737869205,4,0,0.000224751769340851,0.126122658475838
472,150,0.75271855957243,"1.2481431767337807",0.563965460611675,-0.015185484087884,5,0.75,112.026666666667,1.29597581572419e-06,1.8446336718456,0.000858396308747859,1.84465560675008,0.000858387223166206,336095,17962.8699818981,0.459299157324014,0.000422357923486726,4.90351726176133,0.00184792379142158,4,0,0.000222428870499761,0.128151439352317
473,150,0.747423428277288,"1.2519910514541388",0.539058101661179,-0.0231205598085979,5,0.75,111.453333333333,1.39516095515914e-06,2.01993383453503,0.0006471229094023,2.01994771258096,0.000647056694253727,334375,14604.5317964421,0.364551729738382,0.000396716551393856,4.82528246795794,0.00184002905721931,4,0,0.000233254940336527,0.0956219033511242
474,150,0.748657637254079,"1.2511856823266219",0.552738109990586,-0.00814391684229839,5,0.75,111.573333333333,1.34395081483789e-06,1.87469570203275,0.000824116651932152,1.87471690503794,0.000824093797099906,334735,14995.3549854927,0.437652728451733,0.000408863441735484,5.26005059811172,0.00209764172513456,4,0,0.000226182011146897,0.121143353719086
475,150,0.746837941525729,"1.2533333333333334",0.547361046937924,-0.0129649734599814,5,0.75,111.253333333333,1.36998163049922e-06,1.93099946240995,0.000932982838157856,1.93101721368173,0.000932957327915524,333775,16343.9047193903,0.421906017664559,0.000489459228869731,4.96303034232335,0.00211029794993498,4,0,0.000232030519598717,0.114431763561486
476,150,0.751424490571668,"1.2485906040268457",0.542713109542988,-0.00910891014665661,5,0.75,111.96,1.28179136821746e-06,1.79896095527158,0.00103799767608085,1.79898510105775,0.00103797401117782,335895,16021.7637216281,0.486407397002173,0.000474224498543892,5.00289633579019,0.00202482697938146,4,0,0.000222222807045833,0.136659065572066
477,150,0.747407300233008,"1.2532438478747203",0.577411103497639,-0.0054004105839558,5,0.75,111.266666666667,1.34222290313341e-06,1.96835695234363,0.000711211484391806,1.96837352157101,0.000711299433096932,333815,17707.9211032424,0.390753485293468,0.00039515821646794,4.78489163771784,0.0021039846709208,4,0,0.000228079487227105,0.104929548357079
478,150,0.756985829627127,"1.2426845637583892",0.568645796412351,-0.0072899290760286,5,0.75,112.84,1.32843292740825e-06,1.94656279675153,0.000743324463084288,1.94658070607354,0.000743288594789825,338535,14410.9019134727,0.388882118265517,0.000419606292774007,5.23213533589865,0.00224498164429297,4,0,0.000227133173214908,0.106244889281897
479,150,0.752841451813861,"1.2481431767337807",0.526331801751009,-0.0223909150897876,5,0.75,112.026666666667,1.29571173702142e-06,1.91342913419812,0.000770263047851242,1.9134473540808,0.000770176598457621,336095,17613.1128698604,0.436442212747802,0.00039667085335853,4.79366692434689,0.00185448956896177,4,0,0.000222709479678436,0.11881461474988
480,150,0.748232078906083,"1.251454138702461",0.573151372549234,-0.0141710498386549,5,0.75,111.533333333333,1.52965257905783e-06,2.0382157868849,0.000667279419282163,2.0382289517189,0.000667318971335468,334615,14459.3853777868,0.351294865632264,0.000428320335062215,5.58998574089943,0.00228043921155453,4,0,0.000244818794532729,0.091294570427435
481,150,0.852238506225253,"1.1475615212527963",0.511690246522686,-0.0203844745487702,5,0.85,127.013333333333,7.74021250648311e-07,1.96135709832823,0.000588290717739225,1.96137200101827,0.000588267875089199,381055,12430.1430553248,0.393039660641817,0.00033607464183223,5.04298921006314,0.00158574757615689,4,0,0.000174092640974834,0.105843812168803
482,150,0.84629903817258,"1.1536465324384788",0.544272825097945,-0.012523462415024,5,0.85,126.106666666667,8.26652850261243e-07,1.9708397022732,0.000557308644549016,1.97085387024243,0.000557303231454238,378335,13116.5759159313,0.398914116361849,0.000336384139849156,4.89635255465984,0.00157387198503756,4,0,0.000179717572833542,0.10647877257969
483,150,0.857695522125888,"1.141923937360179",0.585780523245075,-0.013601490447188,5,0.85,127.853333333333,7.37725251941111e-07,1.97491487691364,0.00063383919860721,1.97492886785026,0.000633757846825332,383575,11334.1439373226,0.38838279073701,0.000340126041283335,5.25294380592325,0.00137380819580931,4,0,0.000170257658073012,0.104150417891963
484,150,0.852981878882897,"1.1476510067114094",0.581029778025658,-0.0142788530172887,5,0.85,127,7.56592471309418e-07,1.91176555051048,0.000554054426587168,1.91178320328532,0.000554047785060478,381015,14494.1552673052,0.396498474214761,0.000306993996474921,5.53527941354633,0.00168566992203425,4,0,0.000170902051152965,0.11042021965435
485,150,0.84690196374429,"1.153109619686801",0.525687025736076,-0.0124328790853862,5,0.85,126.186666666667,6.65118061396717e-07,1.8641155150089,0.000617620571701015,1.86413408106688,0.000617598422282883,378575,12777.1188106189,0.453444993723549,0.000303721142824496,4.79516804439444,0.00140413311753982,4,0,0.000159634528378467,0.125553985362315
486,150,0.84492897234705,"1.1555257270693513",0.547733518359581,-0.0183449449935028,5,0.85,125.826666666667,8.01916337708256e-07,2.02960857197205,0.000440219829139439,2.02962030028726,0.000440152637941194,377495,14083.0327728276,0.363611058450775,0.000270981401975175,5.1444734256749,0.00166812883177077,4,0,0.000175927305734166,0.0946287780120391
487,150,0.838652484741782,"1.1613422818791945",0.546065759948627,-0.0201986544066348,5,0.85,124.96,7.83444951931207e-07,2.01486288624281,0.00048592006903772,2.01487599883598,0.000485930493526779,374895,13845.7077883752,0.361356445484711,0.000305996027015668,5.27783219351664,0.00186247258796251,4,0,0.000174662676514933,0.0948911163832099
488,150,0.85011329750867,"1.1497091722595079",0.53716107462477,-0.0192040392719698,5,0.85,126.693333333333,8.34168589239345e-07,1.98341015551593,0.000592410973491033,1.9834236055359,0.000592388849624759,380095,13225.7223448712,0.394506913762679,0.000335710564722525,5.05325734218769,0.00151282143202227,4,0,0.000180462020645107,0.104674985331357
489,150,0.848207798388783,"1.1514093959731544",0.575420055420276,-0.0171164110434361,5,0.85,126.44,8.28477200375488e-07,2.10382359239312,0.000461683290364165,2.10383215632114,0.000461677336735499,379335,12216.8988474843,0.31307592690036,0.000305872560698279,5.17401998420235,0.00146172421421643,4,0,0.000180657381845645,0.078201928090241
490,150,0.8541915907052,"1.1462192393736017",0.548114523113745,-0.0206419055955948,5,0.85,127.213333333333,8.52624036202995e-07,2.15482819728317,0.000351264928022343,2.15483461914497,0.000351240652766711,381655,14333.1782937351,0.273996013665257,0.000284438858194863,5.30297666688237,0.00170408291573243,4,0,0.000183835205840829,0.0654864966104401
491,150,0.950897217548884,"1.0492170022371365",0.574421255445215,-0.00976966143696847,5,0.95,141.666666666667,2.70227176951702e-07,1.9409914809848,0.00033967622779899,1.94100603688628,0.000339679978634346,425015,8397.02727839406,0.379933546623132,0.000194746241275109,4.91512660770934,0.000771700320974426,4,0,0.00010278586568778,0.105446677008884
492,150,0.950523857039896,"1.0493959731543625",0.570240722875442,-0.0142562421899737,5,0.95,141.64,2.37028967351626e-07,1.85668686646049,0.000413665974950347,1.85670346428008,0.000413658641679875,424935,7497.22096163979,0.461849175198678,0.000203516898489483,4.85058881403107,0.000910083560575568,4,0,9.58620998252635e-05,0.127960941374304
493,150,0.946471601612525,"1.0535123042505592",0.591344540681754,-0.0127510512259519,5,0.95,141.026666666667,2.83395820014675e-07,1.9561759033285,0.000358996472087111,1.95618947645944,0.000359034289599113,423095,8231.9723716444,0.39410323710007,0.000192157635287908,4.89694948170951,0.00100859554038499,4,0,0.000105107672786631,0.106512376436755
494,150,0.948051188290794,"1.0519015659955258",0.571248471075598,-0.00966955302753272,5,0.95,141.266666666667,2.0732316991956e-07,1.74080763399825,0.000393475205132636,1.74082951722148,0.000393436234703239,423815,7628.10064584148,0.498626351754928,0.000180302099421791,4.44551132706144,0.000625730356021257,4,0,8.87128787194633e-05,0.142435517067378
495,150,0.947092823791998,"1.0528859060402684",0.528012338169617,-0.0147823238215919,5,0.95,141.12,2.65952997419212e-07,1.91851082805662,0.000339313238803728,1.91852576761821,0.000339281184591336,423375,8091.1584855065,0.419895740838169,0.000185019965316703,5.22097844961688,0.000977763698486219,4,0,0.000101330254344576,0.114443167457051
496,150,0.951031761378794,"1.0488590604026846",0.557026614924138,-0.0111648667235187,5,0.95,141.72,2.05419940346152e-07,1.88967375937517,0.000326112018050009,1.88968955904057,0.000326111804676557,425175,7266.80417742353,0.43289692458432,0.000172519934192731,5.10274630716126,0.000805923655935135,4,0,8.92606194133872e-05,0.119486772340414
497,150,0.949951053974839,"1.0500223713646533",0.557776042881012,-0.0107346980759301,5,0.95,141.546666666667,2.51460522101065e-07,1.97552893293193,0.000323986792717635,1.9755420264104,0.000323929992021985,424655,7799.74186459798,0.37498625714855,0.000180990054086782,5.04700073609876,0.000761563880567008,4,0,9.91394397509139e-05,0.10117260709314
498,150,0.95211822067138,"1.047874720357942",0.567525874456471,-0.01378463280341,5,0.95,141.866666666667,2.3291930445071e-07,1.96576028944749,0.000299562799185827,1.96577331273158,0.000299497947451912,425615,7968.89927811225,0.391020231916927,0.000174745439006832,5.02235772927557,0.000754434268362657,4,0,9.50643675609039e-05,0.105288271020351
499,150,0.954843359588595,"1.0451901565995525",0.551961958584504,-0.0134786870271649,5,0.95,142.266666666667,2.03974503849591e-07,1.88514433229117,0.000303739038468676,1.88516093538262,0.000303663970861364,426815,7892.73729535089,0.433531817064967,0.000158627904606294,4.85700322311104,0.000904591104880034,4,0,8.81668691179423e-05,0.119248057149507
500,150,0.951001739011464,"1.0488590604026846",0.557307013306313,-0.012554151186669,5,0.95,141.72,2.28156175721675e-07,1.95883892281047,0.000308843397946647,1.95885190275178,0.000308815397545342,425175,6908.87960885587,0.403814627517299,0.000162445397404459,4.88490986802999,0.00086703556198476,4,0,9.37600630130359e-05,0.108587125416078
501,150,0.059029341029341,"2.7180313199105144",0.573594487369639,0.00720012197070107,20,0.05,7.29333333333333,0.000219376729103127,1.28172287575528,0.0170380227854791,1.28256987835936,0.0170079439470963,21910,7418.38818217789,0.69344775196212,0.00553804712229545,4.49886282226736,0.0240033320592789,4,0,0.00271445967260811,0.208655798802269
502,150,0.054068154068154,"2.741476510067114",0.603125161453891,-0.0424741836786682,20,0.05,7.21333333333333,0.000337009948806976,1.26723934694133,0.0286547273915477,1.26815173333534,0.0286820558497761,21670,7945.51918805721,0.699017352490929,0.00942941038162574,4.4345993514881,0.0346339532160726,4,0,0.00351721047114095,0.210558902368034
503,150,0.0552282162282162,"2.734854586129754",0.543690610263785,-0.0758702034586582,20,0.05,7.21333333333333,0.000239543637695538,1.21357225909088,0.0184896136961281,1.21451882326328,0.0184664486362932,21670,7706.25127573921,0.715690302729887,0.00593363161925524,4.47504264059632,0.0235582564001211,4,0,0.00285140729928316,0.216447631605915
504,150,0.0539481259481259,"2.72089485458613",0.580136551487184,0.0127808667442978,20,0.05,7.34666666666667,0.000210564741022121,1.23077505827526,0.0200867394847523,1.23166311180457,0.0200612598718014,22070,7470.64052131126,0.711036118528266,0.00636038664211273,4.54653066222957,0.0263431158205378,4,0,0.00271478250128628,0.21476913153684
505,150,0.0639871239871239,"2.7540939597315437",0.543718315762085,0.0126352280753931,20,0.05,7.16,0.000248872816900647,1.16171221588282,0.0251062815354159,1.16273869735071,0.0250565516359466,21510,7811.29796121785,0.730183717086948,0.00800679803835874,4.36476693203856,0.0247517105428168,4,0,0.00298028834830837,0.221619320010428
506,150,0.0498911828911829,"2.715436241610738",0.585429934472684,-0.0750800255666661,20,0.05,7.33333333333333,0.00020971077523315,1.30286534846257,0.0162094350060986,1.3037443362673,0.0162481271056905,22030,8332.03569315124,0.686723272482574,0.00551114785577698,4.55153592385057,0.0251901717342077,4,0,0.00268590596984281,0.206288590775611
507,150,0.0459711399711399,"false",0.564184733353187,-0.0285179032845438,20,0.05,7.30666666666667,0.000229398209008685,1.28098731279405,0.0178527098000361,1.28415446330053,0.0366751396788418,21950,8128.59729348991,0.695049440561134,0.00581854288680067,4.47355634574543,0.0263756207187638,4,0,0.00279345248057466,0.209149294265061
508,150,0.0512372812372812,"2.7281431767337807",0.557070579215859,0.0513674048611526,20,0.05,7.37333333333333,0.000226716202592106,1.23850713889692,0.0191222033467248,1.23944389935481,0.0190869286541549,22150,8147.89469246278,0.707778758072094,0.0063363153092752,4.51371943556277,0.0295075000166328,4,0,0.00280539192718417,0.213680746974528
509,150,0.0381815591815592,"2.6747203579418346",0.567118519675977,-0.0419572821466397,20,0.05,7.48,0.000185876387945735,1.28190902688136,0.0157437813015693,1.28272433578578,0.0157383845470435,22470,7288.38369686666,0.694187402038466,0.00547679015973248,4.5985069439806,0.0304197240527664,4,0,0.00253825477884101,0.208868868410669
510,150,0.0449381729381729,"2.698523489932886",0.532997464004554,-0.00316393361894907,20,0.05,7.45333333333333,0.000195264306994004,1.24410345800707,0.0153102572387702,1.2449984864517,0.0152807281015823,22390,8073.72073104792,0.705981243702185,0.00512022506650854,4.52634872263804,0.0263752170287456,4,0,0.00256324305182419,0.213041969850424
511,150,0.152275936778522,"1.8748993288590603",0.576817498439537,0.000799258013529933,20,0.15,22.5866666666667,1.77833085162358e-05,1.20836026762675,0.00588301279586037,1.20863248091417,0.00588280013560158,67790,12851.5948400534,0.716342490417835,0.00184011644280766,4.54345143082612,0.00878221556344577,4,0,0.000791704120601711,0.216735017561817
512,150,0.147828610096457,"1.8847427293064878",0.539825330677465,-0.0480072543647306,20,0.15,22.1066666666667,2.23974101573381e-05,1.31888882888288,0.0059815110778581,1.31913804458801,0.00598372443710906,66350,12903.0041764902,0.678958006170482,0.00203701391757664,4.52713864697487,0.00762335860917047,4,0,0.000894457043858933,0.203676910560437
513,150,0.152260264568442,"1.8749888143176734",0.581217765136301,-0.0233598069531177,20,0.15,22.6,2.15859263370572e-05,1.32150010142278,0.00569119452315316,1.32174588858044,0.00569167326665571,67830,13069.7663309758,0.673536651735672,0.00198853538170527,4.56707872232919,0.00711581856429595,4,0,0.000880671399327103,0.202078110719575
