"rep_id","size_net","clus_coeff","pathlength","connec","init_mode","assortativity","init","neighbors","path_type","neigh_type","klb","mean_entrop_jef","std_entrop_jef","mean_entrop_lap","std_entrop_lap","mean_sum_meas","std_sum_meas","mean_ratio_first","std_ratio_first","mean_value_lang","sd_value_lang","mean_max_cond","sd_max_cond","mean_of_std","std_of_mean"
569,50,0.0453333333333333,4.7534693877551,0.06,0.584239533051329,-0.0849037067715883,5,2.48,"big","unknown",0.0204950840973802,1.87750673535564,0.0972820236271576,1.87879259050169,0.0970404002827152,7455,4295.98768667714,0.428398657425603,0.0635289097449094,5.18687223368187,0.388726064902121,4,0,0.0278577834395776,0.116434981617952
570,50,0.03,4.76734693877551,0.06,0.560245329245448,-0.0219895287958115,5,2.44,"big","unknown",0.0106858969734475,1.87294819538992,0.075679486703292,1.87422514904259,0.0752555945936063,7335,3644.62142150902,0.440412558137634,0.0347101081250787,5.06367144667592,0.124769195235468,4,0,0.0197831045728598,0.120697052326748
571,50,0.0133333333333333,4.76734693877551,0.06,0.432698838413814,-0.106915154487494,5,2.44,"big","unknown",0.010883175722391,1.98330315966069,0.0449875872008292,1.98422877593987,0.0447827486907234,7335,3383.27217531267,0.385865950410534,0.0265114677562438,5.06601655713663,0.252429847474479,4,0,0.0200964215240619,0.101009073235204
572,50,0.01,4.77795918367347,0.06,0.577193332620865,-0.132971729125575,5,2.44,"big","unknown",0.014381138180579,1.87883030225888,0.0899354344374071,1.88012353711354,0.0895011157801217,7335,3744.05651448712,0.433665938920483,0.0427964559432601,4.97732259049317,0.174044537711567,4,0,0.0233650807983917,0.118064638683458
573,50,0.0153333333333333,4.79102040816327,0.06,0.600466032756537,-0.0994240678993634,5,2.48,"big","unknown",0.0184658270495303,1.83882144742481,0.0308623272156244,1.84018789330772,0.0307972836400816,7455,3747.97904727008,0.445818253020499,0.0242845107697312,5.05328846367601,0.294522983165249,4,0,0.0243043122962701,0.122500318104924
574,50,0.036,4.79428571428571,0.06,0.523093952865797,-0.0794130340958134,5,2.44,"big","unknown",0.0117085676994618,1.97869464484004,0.0736885801015851,1.97968746747054,0.0732898586817521,7335,3935.39666854251,0.388662488223885,0.0315363172714961,5.09019070142917,0.212352095963842,4,0,0.0197071853819808,0.10174663053981
575,50,0.0233333333333333,4.79918367346939,0.06,0.603669139089195,-0.162556053811659,5,2.44,"big","unknown",0.0106905302374725,1.97395739348297,0.0805556166954317,1.97493901122687,0.0802505230141034,7335,3744.05651448712,0.392638935345902,0.0463310757050801,5.07850014914363,0.154479832496593,4,0,0.0202769595712453,0.103328353465261
576,50,0.01,4.79918367346939,0.06,0.530337622760348,-0.141711229946524,5,2.44,"big","unknown",0.0137502757187016,1.92989667693846,0.0642593191116258,1.93107359552944,0.0639491785018943,7335,4027.65947124711,0.404241735949727,0.0347677009284213,5.21771470201492,0.177897565983824,4,0,0.0217410864763719,0.108373933681361
577,50,0.0333333333333333,4.80081632653061,0.06,0.637700940714748,-0.00596026490066227,5,2.48,"big","unknown",0.0141858649011062,1.86342072281318,0.0535776847466484,1.86471494420407,0.0533101934475117,7455,3747.97904727008,0.444938804720884,0.024363903040742,4.83200976711707,0.200633740294189,4,0,0.0215251529739251,0.121603278213331
578,50,0.0286666666666667,4.80163265306122,0.06,0.518466580374246,-0.143645606390705,5,2.48,"big","unknown",0.0121083444117296,1.89997092867477,0.0816406195490559,1.90115616464383,0.0814383919470697,7455,3985.4838643072,0.42866138177355,0.047483119251907,4.93062491126584,0.0957636138360989,4,0,0.0214499153316108,0.116145979921098
579,50,0.04,4.81959183673469,0.06,0.56135080599788,-0.12906897336672,5,2.48,"big","unknown",0.0105414749140112,1.98040296961037,0.0709721603926421,1.98131217336843,0.0706807749187906,7455,3277.3807361666,0.381483287690728,0.0416881668736105,4.98688719950774,0.138608735487023,4,0,0.0204117540052809,0.100439464253214
580,50,0.10952380952381,4.83673469387755,0.06,0.53490674047701,-0.0759017043202536,5,2.44,"big","unknown",0.0142139232718026,2.08310714084622,0.0709427715333749,2.08384977490119,0.0705885496254362,7335,4460.43834214549,0.313796672734784,0.0468098173105573,5.04067279257255,0.300067912334229,4,0,0.0234374925865217,0.0768425486119683
581,50,0.0466666666666667,4.8530612244898,0.06,0.57456606413059,-0.137230165405102,5,2.44,"big","unknown",0.0138733475901122,1.97338568795895,0.0612136658765929,1.97439310790038,0.0608859173509801,7335,3935.39666854251,0.384691881283735,0.0307936772039072,5.11512209893472,0.290684019900058,4,0,0.0225581362835174,0.100962483545217
582,50,0.0153333333333333,4.85877551020408,0.06,0.563818432294994,-0.181743556066327,5,2.44,"big","unknown",0.0155901019350016,1.97539636518116,0.0698653146228266,1.97639048465695,0.0695593247109717,7335,3694.67349638611,0.373736770562298,0.0371052438662285,4.98550386811705,0.136420624110587,4,0,0.0229570450361865,0.0982485475046754
583,50,0.0686666666666667,4.86204081632653,0.06,0.508938707253129,-0.132621589561092,5,2.48,"big","unknown",0.011396543639975,1.98346358295139,0.0828660261313681,1.98437249367924,0.082627706523513,7455,3387.61248777763,0.37965774007771,0.0506113180190646,4.86363869538258,0.149536038116533,4,0,0.0208157697703871,0.099774276644831
584,50,0.0553333333333333,4.89714285714286,0.06,0.639863751910267,-0.0349861896619756,5,2.44,"big","unknown",0.00986952302523975,1.87785617953914,0.0951074890726856,1.87920994445828,0.0945730357236708,7335,4117.85559410205,0.436912551709132,0.0441515816997973,5.12608189061021,0.170163705661786,4,0,0.0194948513083153,0.119514805690845
585,50,0.022,4.90122448979592,0.06,0.571960668464066,-0.102272727272727,5,2.44,"big","unknown",0.0164018759622068,1.99374266647101,0.0828080118905048,1.99462939974346,0.0825457745471922,7335,3542.39628338946,0.375245493503469,0.0542059384190559,5.12353192044926,0.340207574797368,4,0,0.0250067502600739,0.0971974638433418
586,50,0.082,4.90857142857143,0.06,0.575954831331121,-0.185522422035056,5,2.48,"big","unknown",0.00989737344061895,2.01142002966366,0.0433646568354993,2.01222494257659,0.0431921403676325,7455,3277.3807361666,0.366102105908705,0.0271100388502266,5.12163516639524,0.131390228731446,4,0,0.0191519780513171,0.0948313005829303
587,50,0.0599047619047619,4.91755102040816,0.06,0.582345461215352,-0.0781391147244806,5,2.48,"big","unknown",0.00992456062382317,1.86793228948528,0.0852761608091852,1.86921466627166,0.0849979957153489,7455,4121.42238177302,0.447296972967346,0.0506165682831895,4.98371068057265,0.197933672185276,4,0,0.0193321436246812,0.122722622148811
588,50,0.0373333333333333,4.92163265306122,0.06,0.562025275986515,-0.0285232541801322,5,2.44,"big","unknown",0.0146726623383478,1.99527558172697,0.0670594771655754,1.99623133106161,0.0667493175534097,7335,3981.79530834409,0.367212358176336,0.0390285827092185,4.92235216830795,0.209021895446274,4,0,0.0232967394955863,0.0956113207270578
589,50,0.064,4.93142857142857,0.06,0.505739179242921,-0.136491821771009,5,2.48,"big","unknown",0.017172080162779,1.94747435519074,0.0999690719307238,1.94856202492518,0.0995979379120789,7455,3939.12867191179,0.395923970952397,0.0587330202677532,4.69374503141765,0.166187821616692,4,0,0.0258852003094188,0.104961512406633
590,50,0.0466666666666667,4.94204081632653,0.06,0.49463219666538,-0.0562770562770563,5,2.44,"big","unknown",0.0134585640159862,1.95354553901444,0.0895848868395864,1.95446408134322,0.0893648971423815,7335,2788.0210229641,0.398480905939366,0.0481328130765869,5.02948976796453,0.239230789846236,4,0,0.0228003749688658,0.105581415933591
591,50,0.0366666666666667,4.97551020408163,0.06,0.530728069419954,-0.0705769494312732,5,2.48,"big","unknown",0.0187479667269122,1.97556638135799,0.119078899990149,1.97654849467653,0.11862605476642,7455,3892.22144219751,0.37996830436731,0.0728860818803782,5.16154828991521,0.260326248370118,4,0,0.0269447784851768,0.0993757862471522
592,50,0.0756190476190476,5.01877551020408,0.06,0.520929914571299,-0.0820702818008306,5,2.44,"big","unknown",0.0258522629532657,1.89983848081644,0.0815567559572293,1.90104380876243,0.0813932134848358,7335,4073.00721274859,0.409153055718727,0.0593163295188806,4.83104224500509,0.123494602404688,4,0,0.0300098006064935,0.109874471397873
593,50,0.0166666666666667,5.02938775510204,0.06,0.504860785858425,-0.124303471924561,5,2.44,"big","unknown",0.0109685985776198,1.8777772874666,0.0864081117314535,1.87899155992851,0.0860711571573746,7335,3744.05651448712,0.440896503932065,0.0447378805943153,4.97009621679458,0.242178009235639,4,0,0.0206490815810513,0.120428457962544
