"","rep_id","size_net","clus_coeff","pathlength","init_mode","assortativity","init","rewire","neighbors","clus_type","mean_mean","mean_sd","sd_mean","sd_sd"
"28",28,150,0.580943831617907,1.68107382550336,0.54845557454606,-0.0229135753524352,"0.1",0.1,"48","big",0.506462107712251,6.96024541260143e-07,0.00156198811064585,3.36820238087756e-08
"29",29,150,0.58355893512787,1.68474272930649,0.538122942597526,0.0261073071996722,"0.1",0.1,"48","big",0.49684231889166,6.95772966365818e-07,0.00087980074533122,3.06664405660972e-08
"30",30,150,0.578683309139748,1.68134228187919,0.552854514399471,-0.000221925330380365,"0.1",0.1,"48","big",0.490028068175277,6.96112257148035e-07,0.000576677009308058,3.43866742139364e-08
"31",31,150,0.579606566630439,1.68170022371365,0.584027797950582,-0.00837128655128522,"0.1",0.1,"48","big",0.494037211814344,6.95667726404405e-07,0.00109048922093009,2.95264993559697e-08
"32",32,150,0.589904293569329,1.68366890380313,0.556035908819508,-0.0228937968243373,"0.1",0.1,"48","big",0.508111347046707,6.95619049935599e-07,0.000455864540713799,2.89541918752967e-08
"33",33,150,0.573590728348997,1.68161073825503,0.57374083956573,-0.00849041450935728,"0.1",0.1,"48","big",0.499005256357028,6.96188888040767e-07,0.00136565245303969,3.52122813038618e-08
"34",34,150,0.598931664411379,1.68286353467562,0.604108363707036,0.0101487666116619,"0.1",0.1,"48","big",0.488773067473334,6.95527383698345e-07,0.000585632145157283,2.76042027665969e-08
"35",35,150,0.584344038863987,1.682774049217,0.543296462041243,-0.031945788964182,"0.1",0.1,"48","big",0.497076562086822,6.9564420429538e-07,0.000280076693321852,2.90564346884316e-08
"36",36,150,0.573789333365417,1.68125279642058,0.583166394000517,-0.00358060514574271,"0.1",0.1,"48","big",0.49300688531327,6.95803480072261e-07,0.00112617430594533,3.08269260873369e-08
"37",37,150,0.574362309812059,1.6807158836689,0.561327030483462,-0.0142790873271361,"0.1",0.1,"48","big",0.494567947865928,6.95856992875305e-07,0.000964754041444815,3.12838082031171e-08
"38",38,150,0.57018659444789,1.68062639821029,0.611176609030348,-0.0128454237823876,"0.1",0.1,"48","big",0.493269370985669,6.95926010606006e-07,0.000577855411973041,3.25632029654613e-08
"39",39,150,0.589893503970583,1.68536912751678,0.571689560805858,0.00113067933790834,"0.1",0.1,"48","big",0.496163284844871,6.95714903312198e-07,0.000960141497272716,2.97707073586345e-08
"40",40,150,0.573201827097288,1.68268456375839,0.568278709393204,-0.0103681103405033,"0.1",0.1,"48","big",0.505390293594932,6.95786267891575e-07,0.000758294480152449,3.07334362780544e-08
"41",41,150,0.590234493213406,1.68286353467562,0.575092480333887,-0.01985739998961,"0.1",0.1,"48","big",0.507798930436278,6.95594317460252e-07,0.00109720442966704,2.86243273386761e-08
"42",42,150,0.589391372474936,1.68223713646532,0.569488853911012,-0.0261639171833488,"0.1",0.1,"48","big",0.493399666691042,6.95834777016413e-07,0.000921497549204748,3.16321882333083e-08
"43",43,150,0.583437723194394,1.68429530201342,0.580794209078167,-0.0195116246366609,"0.1",0.1,"48","big",0.497382706854082,6.95588845196076e-07,0.00125847276568148,2.79638402652481e-08
"44",44,150,0.579928909459614,1.68447427293065,0.561510757386423,-0.00341922632766762,"0.1",0.1,"48","big",0.511001705405248,6.95452566346857e-07,0.00143053870823194,2.65944555767045e-08
"45",45,150,0.576055916979542,1.68268456375839,0.559794350372634,0.0181107896635765,"0.1",0.1,"48","big",0.486551756717042,6.95810260271225e-07,0.000987442796111329,3.10258460816781e-08
"46",46,150,0.580474292163009,1.68107382550336,0.565272391969734,-0.0145415201073966,"0.1",0.1,"48","big",0.49073320206756,6.95782789688327e-07,0.000339760223361156,3.07180668342934e-08
"47",47,150,0.583554083833964,1.68196868008949,0.554080025535555,-0.00637372438637353,"0.1",0.1,"48","big",0.506068178310869,6.95601749508227e-07,0.000452476302520372,2.86101209977939e-08
"48",48,150,0.573116275113939,1.6820581655481,0.580362505290258,-0.0119070527150055,"0.1",0.1,"48","big",0.477250094987586,6.95464688625491e-07,0.000494516035416131,2.691250843963e-08
"49",49,150,0.577959140161249,1.68375838926174,0.567698973249854,0.00729435142739059,"0.1",0.1,"48","big",0.49351090392476,6.95784411072154e-07,0.000615770664789149,3.06647749520136e-08
"50",50,150,0.578000813253918,1.68008948545861,0.583508547299899,-0.0115315338576213,"0.1",0.1,"48","big",0.481259962666503,6.95787705463749e-07,0.00115519394237058,3.09211626333737e-08
"51",51,150,0.5941775851996,1.68536912751678,0.562595420687188,-0.0238615591280318,"0.1",0.1,"48","big",0.508730988386123,6.95907504827082e-07,0.000576952909515901,3.1976304855731e-08
"52",52,150,0.584007493894272,1.68187919463087,0.593294374612592,-0.0106188430507128,"0.1",0.1,"48","big",0.482338851930268,6.95924263768518e-07,0.000792895682400587,3.23467346296257e-08
"53",53,150,0.585743610481079,1.68420581655481,0.572716319500454,-0.0136549508691228,"0.1",0.1,"48","big",0.512392850580997,6.95684019628795e-07,0.000492535670836458,2.96147343424972e-08
"54",54,150,0.579263734834039,1.68080536912752,0.575348537906602,-0.0121512893226934,"0.1",0.1,"48","big",0.494710702965872,6.95565053289586e-07,0.00061544756041219,2.80944311048576e-08
"55",55,150,0.588636657277311,1.68635346756152,0.549849572710291,-0.005001989745405,"0.1",0.1,"48","big",0.507514017417548,6.95679639490248e-07,0.0012099819727767,2.99689765362534e-08
"56",56,150,0.579177061706878,1.68143176733781,0.545117800470319,-0.0095935220784449,"0.1",0.1,"48","big",0.492821021356222,6.95917860590266e-07,0.0012470572187408,3.24078994435009e-08
"57",57,150,0.586407050432626,1.68402684563758,0.55028482003673,0.0137042620572156,"0.1",0.1,"48","big",0.491092118173507,6.95633212914806e-07,0.000223220960677224,2.8885321485999e-08
