"rep_id","size_net","clus_coeff","pathlength","init_mode","assortativity","init","family","rewire","neighbors","mean_mean","mean_sd","sd_mean","sd_sd"
3761,150,0.453590722055974,"1.5468456375838926",0.467676505781946,-0.0141291503250964,0.1,7,0.1,67.52,0.502325210768545,4.97585520556527e-07,6.78637477421654e-06,4.45357327288177e-08
3762,150,0.458319441509156,"1.5428187919463088",0.499681158988662,-0.0177206434066607,0.1,7,0.1,68.12,0.490468866364295,4.9309924087868e-07,4.75998373191476e-06,4.39304193362734e-08
3763,150,0.454243702222077,"1.5465771812080538",0.497451341551823,-0.0138325590288979,0.1,7,0.1,67.56,0.506362767860927,4.97925384506418e-07,5.94728359594914e-06,4.82662133396418e-08
3764,150,0.448262894133485,"1.5515883668903803",0.521604448635274,-0.0307917353024202,0.1,7,0.1,66.8133333333333,0.503605247881357,5.03079168218267e-07,5.44014912770092e-06,4.75461995559517e-08
3765,150,0.445757639554925,"1.5532885906040268",0.497840286560251,-0.00226119127014606,0.1,7,0.1,66.56,0.487221162971897,5.04431325915131e-07,6.20550995253555e-06,4.35608095582008e-08
3766,150,0.453172189003697,"1.545145413870246",0.523497850061343,-0.00469965573769589,0.1,7,0.1,67.7733333333333,0.493664524731705,4.9585380289521e-07,1.02134541293966e-05,4.51655330508223e-08
3767,150,0.444861621302292,"1.5549888143176733",0.48518863197487,-0.026389977053246,0.1,7,0.1,66.3066666666667,0.511701478651431,5.06957285454107e-07,4.93960350304436e-06,4.78068556068035e-08
3768,150,0.448963186845315,"1.553020134228188",0.456887768938528,-0.0273166791844031,0.1,7,0.1,66.6,0.510778991257777,5.05095342598346e-07,5.86462751610196e-06,5.09743846520347e-08
3769,150,0.449620356828261,"1.549261744966443",0.477983181245914,-0.019314026267336,0.1,7,0.1,67.16,0.503844572416545,5.00088317866554e-07,4.98463985120642e-06,4.37495153798255e-08
3770,150,0.442461209923125,"1.5571364653243849",0.494912480732857,-0.00971558998945856,0.1,7,0.1,65.9866666666667,0.504914677312823,5.08928398796463e-07,5.02648037322783e-06,4.47094807788881e-08
3771,150,0.445762589555259,"1.5545413870246085",0.464896415332678,-0.00897524789248315,0.1,7,0.1,66.3733333333333,0.506396790214081,5.06838709187826e-07,6.49105911463874e-06,4.95537854515125e-08
3772,150,0.447349926152193,"1.5538255033557047",0.542266368642107,-0.0186772397945844,0.1,7,0.1,66.48,0.505327619805994,5.06526120274355e-07,6.54326967152959e-06,5.21193813737606e-08
3773,150,0.451927448433046,"1.5472930648769574",0.476471281427141,-0.0105993253216613,0.1,7,0.1,67.4533333333333,0.486037418625712,4.98274721903827e-07,6.25813261532861e-06,4.58994923814442e-08
3774,150,0.45074103644748,"1.5504250559284116",0.483057370839345,-0.0212679924911935,0.1,7,0.1,66.9866666666667,0.495632486739248,5.02053881191064e-07,4.50071165064904e-06,4.84041368789676e-08
3775,150,0.45190242395373,"1.5498881431767337",0.474234447994028,-0.0174806089610498,0.1,7,0.1,67.0666666666667,0.483865389447937,5.01865207926876e-07,7.78252364413496e-06,5.18444327085324e-08
3776,150,0.448467327805572,"1.5517673378076062",0.533130662525895,-0.02376578881488,0.1,7,0.1,66.7866666666667,0.494269800763862,5.0370184206697e-07,6.66729909240004e-06,4.87038677196399e-08
3777,150,0.451177575390473,"1.5473825503355705",0.500072487894952,-0.000455947211582837,0.1,7,0.1,67.44,0.496401260018148,4.97452093522943e-07,5.85012453757247e-06,3.97817510140967e-08
3778,150,0.45168639347551,"1.548724832214765",0.510692159842284,-0.00308046003652381,0.1,7,0.1,67.24,0.50263345584636,4.99852192728267e-07,5.62140242640024e-06,4.72377354344517e-08
3779,150,0.451738680773545,"1.545324384787472",0.500563621931535,0.00231905419855339,0.1,7,0.1,67.7466666666667,0.495799865856914,4.95328878906357e-07,6.54064940808351e-06,4.12642921368751e-08
3780,150,0.452805837794975,"1.5463087248322147",0.497852846566695,-0.0114131583796905,0.1,7,0.1,67.6,0.50001670306681,4.97144041250681e-07,5.52461882174569e-06,4.68327137335782e-08
3781,150,0.453322121708368,"1.548903803131991",0.523411510171952,-0.00764983393072591,0.1,7,0.1,67.2133333333333,0.495010375999253,5.00432719398674e-07,7.74817978364198e-06,4.82877729175973e-08
