"rep_id","size_net","clus_coeff","pathlength","init_mode","assortativity","init","rewire","neighbors","density","path_type","neigh_type","mean_mean","mean_sd","sd_mean","sd_sd"
3774,50,0.0233809523809524,3.99510204081633,0.534271781494437,-0.0834777585210861,0.1,0.1,2.48,0.0720002721548559,"small","unknown",0.501280929710253,1.97559760260829e-05,0.0126379749063225,1.12057032066172e-05
3774,50,0.0233809523809524,3.99510204081633,0.534271781494437,-0.0834777585210861,0.1,0.1,2.48,0.0720002721548559,"big","unknown",0.501280929710253,1.97559760260829e-05,0.0126379749063225,1.12057032066172e-05
3986,50,0.0146666666666667,4.45877551020408,0.624178818997936,-0.12457221081451,0.1,0.1,2.48,0.0230200703536744,"small","unknown",0.502772721557282,1.76134711236308e-05,0.00746513043224451,9.50707816993947e-06
3986,50,0.0146666666666667,4.45877551020408,0.624178818997936,-0.12457221081451,0.1,0.1,2.48,0.0230200703536744,"big","unknown",0.502772721557282,1.76134711236308e-05,0.00746513043224451,9.50707816993947e-06
4254,50,0.0385714285714286,4.62285714285714,0.560219372085215,-0.0236048574157456,0.1,0.1,2.48,0.0124077683236654,"small","unknown",0.494382873334496,1.77244804338812e-05,0.0104368911079259,9.83688352875038e-06
4254,50,0.0385714285714286,4.62285714285714,0.560219372085215,-0.0236048574157456,0.1,0.1,2.48,0.0124077683236654,"big","unknown",0.494382873334496,1.77244804338812e-05,0.0104368911079259,9.83688352875038e-06
4351,50,0.0193333333333333,4.34938775510204,0.483753959547367,-0.00304506699147386,0.1,0.1,2.44,0.0259948448354591,"small","unknown",0.49973181564475,1.86066065295296e-05,0.00859967693472887,1.03077209851005e-05
4351,50,0.0193333333333333,4.34938775510204,0.483753959547367,-0.00304506699147386,0.1,0.1,2.44,0.0259948448354591,"big","unknown",0.49973181564475,1.86066065295296e-05,0.00859967693472887,1.03077209851005e-05
4695,50,0.0153333333333333,4.30204081632653,0.520621748504583,-0.0782608695652173,0.1,0.1,2.48,0.030308994606961,"small","unknown",0.499335931211062,1.75848991702968e-05,0.00677968641856673,9.56368691682717e-06
4695,50,0.0153333333333333,4.30204081632653,0.520621748504583,-0.0782608695652173,0.1,0.1,2.48,0.030308994606961,"big","unknown",0.499335931211062,1.75848991702968e-05,0.00677968641856673,9.56368691682717e-06
4761,50,0.0416190476190476,4.4465306122449,0.583317283725785,-0.0418561627996608,0.1,0.1,2.48,0.0230200703536744,"small","unknown",0.500730573188523,1.85908011572799e-05,0.0185633261114727,9.99755222312289e-06
4761,50,0.0416190476190476,4.4465306122449,0.583317283725785,-0.0418561627996608,0.1,0.1,2.48,0.0230200703536744,"big","unknown",0.500730573188523,1.85908011572799e-05,0.0185633261114727,9.99755222312289e-06
4917,50,0.0993333333333333,4.77061224489796,0.641026518510844,-0.126862958924028,0.1,0.1,2.48,0.00468679021602775,"small","unknown",0.483107209269956,1.76959146508154e-05,0.0135467470431983,9.8600579567719e-06
4917,50,0.0993333333333333,4.77061224489796,0.641026518510844,-0.126862958924028,0.1,0.1,2.48,0.00468679021602775,"big","unknown",0.483107209269956,1.76959146508154e-05,0.0135467470431983,9.8600579567719e-06
5074,50,0.0493333333333333,4.37632653061224,0.55284392343507,-0.0572133722234687,0.1,0.1,2.48,0.0259948448354591,"small","unknown",0.500900877725344,1.85843839374588e-05,0.0108811985038213,1.03503693397088e-05
5074,50,0.0493333333333333,4.37632653061224,0.55284392343507,-0.0572133722234687,0.1,0.1,2.48,0.0259948448354591,"big","unknown",0.500900877725344,1.85843839374588e-05,0.0108811985038213,1.03503693397088e-05
5434,50,0.0246666666666667,4.53795918367347,0.55571749731804,-0.0948211900875502,0.1,0.1,2.48,0.0157288692531117,"small","unknown",0.500308866587233,1.79291654733143e-05,0.00784406483459006,9.85692700014146e-06
5434,50,0.0246666666666667,4.53795918367347,0.55571749731804,-0.0948211900875502,0.1,0.1,2.48,0.0157288692531117,"big","unknown",0.500308866587233,1.79291654733143e-05,0.00784406483459006,9.85692700014146e-06
5492,50,0.0773333333333333,4.37959183673469,0.548768308446548,-0.215321532153215,0.1,0.1,2.48,0.0259948448354591,"small","unknown",0.5028784107964,1.75357808913621e-05,0.00971773215583955,9.17837707774818e-06
5492,50,0.0773333333333333,4.37959183673469,0.548768308446548,-0.215321532153215,0.1,0.1,2.48,0.0259948448354591,"big","unknown",0.5028784107964,1.75357808913621e-05,0.00971773215583955,9.17837707774818e-06
5665,50,0.00733333333333333,4.23183673469388,0.509840557953664,-0.0566559189313681,0.1,0.1,2.48,0.0426925162416383,"small","unknown",0.492404251834337,1.83844460226733e-05,0.00602431986662989,1.04085839140392e-05
5665,50,0.00733333333333333,4.23183673469388,0.509840557953664,-0.0566559189313681,0.1,0.1,2.48,0.0426925162416383,"big","unknown",0.492404251834337,1.83844460226733e-05,0.00602431986662989,1.04085839140392e-05
5691,50,0.038,4.37387755102041,0.537710306073126,-0.065374677002584,0.1,0.1,2.48,0.0259948448354591,"small","unknown",0.509327530026354,1.83067557904046e-05,0.0149631585519877,1.01152819421901e-05
