"rep_id","network_type","size","clustering","pathlength","value_lang_start","assortativity","exponent","init_lang_exp","node_degree","path_type","exp_type","size_type","neigh_type","clus_type","ass_type","inter_var","mean_intra_var","std_intra_var"
102,"Random",50,0.0253333333333333,4.43836734693878,0.572194135790412,-0.151113076809671,NA,"Without",2.44,"High",NA,NA,"None",NA,NA,0.0148856404493627,2.25472891469128,0.0217167780176119
103,"Random",50,0.0219047619047619,4.44244897959184,0.512934326648963,-0.0103197859599949,NA,"Without",2.44,"High",NA,NA,"None",NA,NA,0.0224729651828818,2.22213205909684,0.0334049779395076
104,"Random",50,0.0453333333333333,4.44326530612245,0.507623234489594,-0.0647430759640217,NA,"Without",2.44,"High",NA,NA,"None",NA,NA,0.0192370405706869,2.23379912284321,0.0266811157177143
105,"Random",50,0.0253333333333333,4.45061224489796,0.550636949130789,-0.000949667616334265,NA,"Without",2.48,"High",NA,NA,"None",NA,NA,0.0148425017698871,2.25994298133233,0.0286253875365483
106,"Random",50,0.014,4.45224489795918,0.483121465238381,-0.0490863489788606,NA,"Without",2.44,"High",NA,NA,"None",NA,NA,0.0257346995892492,2.23334325752103,0.0414812323211456
107,"Random",50,0.0182857142857143,4.45551020408163,0.597014488721491,-0.172372372372373,NA,"Without",2.44,"High",NA,NA,"None",NA,NA,0.0152294525168768,2.24187911275979,0.0261164084561739
108,"Random",50,0.0533333333333333,4.46204081632653,0.604818337633354,-0.197415828053174,NA,"Without",2.44,"High",NA,NA,"None",NA,NA,0.0270708959899559,2.23737353370825,0.0238606191738499
109,"Random",50,0.0306666666666667,4.46285714285714,0.536652220139396,-0.0603955104222341,NA,"Without",2.48,"High",NA,NA,"None",NA,NA,0.0145743233440995,2.25607077069492,0.0210692010025686
110,"Random",50,0.0286666666666667,4.46530612244898,0.587429059317608,-0.145335710041592,NA,"Without",2.44,"High",NA,NA,"None",NA,NA,0.0215915323278621,2.24224672688632,0.0304227323435564
111,"Random",50,0.0673333333333333,4.4734693877551,0.511567606601058,-0.117671009771987,NA,"Without",2.44,"High",NA,NA,"None",NA,NA,0.0217165775756143,2.22068044273293,0.0384375236337698
112,"Random",50,0.0353333333333333,4.47673469387755,0.557463674624046,-0.0461504078668008,NA,"Without",2.48,"High",NA,NA,"None",NA,NA,0.022410752750899,2.22364663853286,0.0557302290378021
113,"Random",50,0.010952380952381,4.47836734693878,0.533487691276549,-0.184370477568741,NA,"Without",2.48,"High",NA,NA,"None",NA,NA,0.0203595522041708,2.22887027338159,0.0431060766021218
114,"Random",50,0.024,4.48244897959184,0.562847683958703,-0.0754898811435914,NA,"Without",2.48,"High",NA,NA,"None",NA,NA,0.015984193294143,2.25725989291691,0.0247839929475352
115,"Random",50,0.048,4.48326530612245,0.509474731567164,-0.0707729468599035,NA,"Without",2.48,"High",NA,NA,"None",NA,NA,0.0227932805907357,2.20059387503303,0.0539047410255678
116,"Random",50,0.0433333333333333,4.48408163265306,0.571337154950163,-0.161369568555197,NA,"Without",2.48,"High",NA,NA,"None",NA,NA,0.0126937308272595,2.24411813627098,0.019425693575371
117,"Random",50,0.02,4.48408163265306,0.507899329102881,-0.119853134015211,NA,"Without",2.44,"High",NA,NA,"None",NA,NA,0.0133792182713897,2.25958848614926,0.017932815783133
118,"Random",50,0.044,4.48979591836735,0.532334653307549,-0.128479293957909,NA,"Without",2.44,"High",NA,NA,"None",NA,NA,0.0272829607893488,2.2319535809556,0.0343414031292095
119,"Random",50,0.0326666666666667,4.48979591836735,0.593139056592127,-0.109075043630017,NA,"Without",2.48,"High",NA,NA,"None",NA,NA,0.0246568680797611,2.22632653078955,0.0391827820958041
