"rep_id","network_type","size","clustering","pathlength","value_lang_start","assortativity","exponent","init_lang_exp","node_degree","connection_prob","rewire","inter_var","mean_intra_var","std_intra_var"
770,"Scalefree",300,0,"5.30258639910814",0.549004094008601,-0.191542644860031,3.15741382299424,"With (weak)",1.99333333333333,NA,NA,0.0229674373024706,1.94175216607782,0.099622149035373
771,"Scalefree",300,0,"5.48943143812709",0.563087745338953,-0.132572960477735,3.14605982713648,"With (weak)",1.99333333333333,NA,NA,0.0255157629442537,1.93712716537599,0.108271458924278
772,"Scalefree",300,0,"6.558751393534",0.557498034740665,-0.210985305367498,3.00696260430529,"With (weak)",1.99333333333333,NA,NA,0.0221479707535891,1.90347835377777,0.0871101146444296
773,"Scalefree",300,0,"5.76321070234114",0.543896776373726,-0.241337100121178,3.04407725551775,"With (weak)",1.99333333333333,NA,NA,0.0258427279896307,1.93938582673394,0.104039499416093
774,"Scalefree",300,0,"6.66084726867336",0.587356312290946,-0.198288306362823,3.18965630756903,"With (weak)",1.99333333333333,NA,NA,0.0245327123153641,1.91359083185907,0.134327736212081
775,"Scalefree",300,0,"5.9717502787068",0.572685244521414,-0.166847636614395,3.16345884392899,"With (weak)",1.99333333333333,NA,NA,0.0214392385576346,1.96890557090753,0.0992166207553521
776,"Scalefree",300,0,"4.76798216276477",0.586079071781281,-0.131470378569859,3.27578781070208,"With (weak)",1.99333333333333,NA,NA,0.0205980089292235,1.95288970816337,0.0856776620768942
777,"Scalefree",300,0,"5.56118171683389",0.585810293409,-0.166306295302255,3.20738311174044,"With (weak)",1.99333333333333,NA,NA,0.0244734222073314,1.90828060213197,0.130717224637462
778,"Scalefree",300,0,"4.68169453734671",0.555851328588321,-0.163574113874289,3.35123044091163,"With (weak)",1.99333333333333,NA,NA,0.0205995017236728,1.95178250596521,0.0785938281176847
779,"Scalefree",300,0,"5.61676700111483",0.554532557307619,-0.197130487883207,3.07512113947294,"With (weak)",1.99333333333333,NA,NA,0.0209594396566835,1.9419778729127,0.0672130390106092
780,"Scalefree",300,0,"6.83993311036789",0.562278854704082,-0.241196929592997,2.98666851215301,"With (weak)",1.99333333333333,NA,NA,0.0232011386572623,1.87419661290968,0.109163424579192
781,"Scalefree",300,0,"5.01859531772575",0.579110233284545,-0.167196491853949,3.11453935516909,"With (weak)",1.99333333333333,NA,NA,0.0221980223661281,1.89856777223608,0.116801671850358
782,"Scalefree",300,0,"5.52622073578595",0.556322868799621,-0.185065031621895,3.09810614148504,"With (weak)",1.99333333333333,NA,NA,0.0214139993420558,1.95587940161547,0.0869298174308312
783,"Scalefree",300,0,"5.9177480490524",0.575194475963043,-0.160775720622015,3.07878874067399,"With (weak)",1.99333333333333,NA,NA,0.0206663024340339,1.95558284770534,0.0995444565737826
784,"Scalefree",300,0,"6.08581939799331",0.568994452195193,-0.24677024746815,3.04396783119,"With (weak)",1.99333333333333,NA,NA,0.021669230004387,1.85831488372053,0.0895597458187785
785,"Scalefree",300,0,"5.58020066889632",0.556239332779515,-0.177329327232299,3.14794719357257,"With (weak)",1.99333333333333,NA,NA,0.0228127772863389,1.94146091777989,0.0764395099334647
786,"Scalefree",300,0,"4.62911928651059",0.549364205084652,-0.173445282549988,3.29175221487343,"With (weak)",1.99333333333333,NA,NA,0.0214053189726616,2.01312730860518,0.0516911319876753
787,"Scalefree",300,0,"5.53841694537347",0.557331102115308,-0.182004690705622,3.02809454887475,"With (weak)",1.99333333333333,NA,NA,0.023783587785294,1.95397143178908,0.0976053040334465
788,"Scalefree",300,0,"5.64107023411371",0.558345993348802,-0.17290525279718,3.23464684714002,"With (weak)",1.99333333333333,NA,NA,0.0241894415613314,1.95335345584528,0.101412977870893
789,"Scalefree",300,0,"5.32332218506132",0.564316319428634,-0.20344819492673,3.13476463678967,"With (weak)",1.99333333333333,NA,NA,0.0205496976882999,1.96406443047076,0.0772823628346751
790,"Scalefree",300,0,"5.82205128205128",0.540199044972982,-0.160508008062244,3.14282481198158,"With (weak)",1.99333333333333,NA,NA,0.020957573584959,1.93161534397573,0.0906750340403716
791,"Scalefree",300,0,"6.02842809364549",0.570740768794637,-0.182786396068113,3.04425154543015,"With (weak)",1.99333333333333,NA,NA,0.0269968508145232,1.93596934666934,0.0892455550967906
792,"Scalefree",300,0,"4.879375696767",0.542376003525582,-0.164782331490047,3.20647732072778,"With (weak)",1.99333333333333,NA,NA,0.0205096058499336,1.90021349949027,0.11472860807287
793,"Scalefree",300,0,"5.97036789297659",0.560593229609189,-0.239977846978726,3.09060564752538,"With (weak)",1.99333333333333,NA,NA,0.0192159197096176,1.93706205114811,0.0871798529193677
794,"Scalefree",300,0,"6.08180602006689",0.532681092566058,-0.163116848564843,3.13386471518011,"With (weak)",1.99333333333333,NA,NA,0.0253176756797752,1.91020460442754,0.0996931602090322
795,"Scalefree",300,0,"5.45727982162765",0.563518591166813,-0.18267682132689,2.98898537573765,"With (weak)",1.99333333333333,NA,NA,0.0214811389672522,1.95606238433246,0.0846394067826783
796,"Scalefree",300,0,"6.11395763656633",0.560773884041306,-0.20479139049151,3.07004684868991,"With (weak)",1.99333333333333,NA,NA,0.0243233583804593,1.96605001213609,0.0846220482338718
797,"Scalefree",300,0,"5.53591973244147",0.569309660779133,-0.12423965104835,3.19116523864058,"With (weak)",1.99333333333333,NA,NA,0.0253283845411124,1.92683397443783,0.0813574437674137
798,"Scalefree",300,0,"5.07003344481605",0.562420049140409,-0.126065241108296,3.26321425039296,"With (weak)",1.99333333333333,NA,NA,0.0194052395780367,1.95665708127073,0.0766402873899256
799,"Scalefree",300,0,"5.86354515050167",0.577400491227616,-0.184259772145457,3.14119971296626,"With (weak)",1.99333333333333,NA,NA,0.0236615786601121,1.93133091359155,0.0977550430941614
800,"Scalefree",300,0,"5.82746934225195",0.583978887655515,-0.188093871762281,3.10997192096147,"With (weak)",1.99333333333333,NA,NA,0.0269398725807842,1.89327403010992,0.110419869532805
801,"Scalefree",300,0,"5.76133779264214",0.584379593005234,-0.196262586369868,3.09414204704556,"With (strong)",1.99333333333333,NA,NA,0.00886684161624019,1.28386125769535,0.125451971409157
802,"Scalefree",300,0,"5.75692307692308",0.590229909617611,-0.134696724760281,3.36668950013893,"With (strong)",1.99333333333333,NA,NA,0.00710888622254736,1.25302670801058,0.100968638990923
803,"Scalefree",300,0,"5.37496098104794",0.567110278437088,-0.205152511206991,3.18327163508301,"With (strong)",1.99333333333333,NA,NA,0.00737218614409341,1.24724535181217,0.108195527074034
804,"Scalefree",300,0,"5.42055741360089",0.55250697169854,-0.150794730037006,3.33697557523422,"With (strong)",1.99333333333333,NA,NA,0.00920232944283728,1.20263670610152,0.136622621318178
805,"Scalefree",300,0,"5.79534002229654",0.573037375852863,-0.224666058687839,3.1167718885204,"With (strong)",1.99333333333333,NA,NA,0.00756308976784925,1.20389976190991,0.0899791926940281
806,"Scalefree",300,0,"5.77201783723523",0.563517635841362,-0.212416765780524,3.33668114828849,"With (strong)",1.99333333333333,NA,NA,0.009112232370698,1.28281361986973,0.117275544300757
807,"Scalefree",300,0,"6.22316610925307",0.563052375513669,-0.171226454844984,3.29442495416951,"With (strong)",1.99333333333333,NA,NA,0.00926283386762211,1.23958665654922,0.12525306125732
808,"Scalefree",300,0,"6.980624303233",0.569838344976081,-0.224198572754124,3.09426297601911,"With (strong)",1.99333333333333,NA,NA,0.00711707905511382,1.20286484481883,0.103970582549511
809,"Scalefree",300,0,"5.86945373467113",0.574479097045477,-0.209886844420493,3.00899656251187,"With (strong)",1.99333333333333,NA,NA,0.00940543600986917,1.22723808351834,0.113449105206701
810,"Scalefree",300,0,"5.64535117056856",0.540131722233744,-0.144575346989277,3.24996544442227,"With (strong)",1.99333333333333,NA,NA,0.00790095256851509,1.23253295204542,0.111617277892229
811,"Scalefree",300,0,"6.61551839464883",0.547620311167464,-0.263607502703796,2.94693210031898,"With (strong)",1.99333333333333,NA,NA,0.00927213805595429,1.26809014163525,0.127635854844952
812,"Scalefree",300,0,"6.00022296544036",0.552320257658539,-0.194263974031173,3.09924340747327,"With (strong)",1.99333333333333,NA,NA,0.00830508939035731,1.26720242129571,0.105534690744211
813,"Scalefree",300,0,"5.6025641025641",0.568453947296912,-0.17821504330171,3.27556111506585,"With (strong)",1.99333333333333,NA,NA,0.00778692359545552,1.20134582900962,0.125187935049422
814,"Scalefree",300,0,"5.47110367892977",0.542810856541344,-0.159229280850574,3.11309452937154,"With (strong)",1.99333333333333,NA,NA,0.0081713317490796,1.20753240100012,0.0800128075654334
815,"Scalefree",300,0,"5.42399108138239",0.556698180828983,-0.204858411154792,3.20757013787175,"With (strong)",1.99333333333333,NA,NA,0.00811496143512123,1.25487795915542,0.0930653246228169
816,"Scalefree",300,0,"6.33674470457079",0.569489886955209,-0.224738514441757,3.05058097620427,"With (strong)",1.99333333333333,NA,NA,0.00767124710731906,1.24298714900941,0.130985440560612
817,"Scalefree",300,0,"5.04222965440357",0.572593648212724,-0.142803433589474,3.32898785841613,"With (strong)",1.99333333333333,NA,NA,0.00773244935837286,1.23278731886707,0.12512809247782
818,"Scalefree",300,0,"5.99935340022297",0.558201723961265,-0.189284024092508,3.18055737456725,"With (strong)",1.99333333333333,NA,NA,0.0092895225467006,1.27711448882635,0.105774429900068
819,"Scalefree",300,0,"6.22111482720178",0.565464105438984,-0.205145011741464,2.90717455319924,"With (strong)",1.99333333333333,NA,NA,0.0104498921174278,1.25960997058234,0.113174128986453
820,"Scalefree",300,0,"5.65703455964326",0.561351443169682,-0.275169303750921,3.04322578992807,"With (strong)",1.99333333333333,NA,NA,0.0113348586375374,1.25419434289448,0.129087206013011
