"rep_id","network_type","size","clustering","pathlength","value_lang_start","assortativity","exponent","init_lang_exp","node_degree","mean_lang","inter_var","mean_intra_var","std_intra_var"
493,"Small-world",50,0.239904761904762,"3.21959183673469",0.470636010167196,-0.103404791929382,NA,"With (strong)",4,0.519017441802536,8.82773969389607e-06,0.0140147651671144,2.31147052961217e-06
494,"Small-world",50,0.26,"3.32244897959184",0.50811169355635,-0.0808473843493299,NA,"With (strong)",4,0.499144778622095,8.81028150412882e-06,0.0116246425682403,2.33238106403323e-06
495,"Small-world",50,0.213523809523809,"3.08734693877551",0.460908450648079,-0.150173611111112,NA,"With (strong)",4,0.479747728600755,8.81663580251161e-06,0.00288837143060774,2.19234199321644e-06
496,"Small-world",50,0.211809523809524,"3.08489795918367",0.490647630717357,-0.0904980384334066,NA,"With (strong)",4,0.509594416687936,8.92296214372972e-06,0.00594117695414029,2.28353194730667e-06
497,"Small-world",50,0.292,"3.38367346938776",0.52999439748739,-0.0242085661080075,NA,"With (strong)",4,0.49728061401533,8.69920557052601e-06,0.00721901629809982,1.95852420896514e-06
498,"Small-world",50,0.131904761904762,"3.07183673469388",0.55734601670919,-0.0148580525338286,NA,"With (strong)",4,0.499177735507511,8.95628615780251e-06,0.0031750367100461,2.35739670523871e-06
499,"Small-world",50,0.249333333333333,"3.33142857142857",0.541384772434359,-0.112251882272416,NA,"With (strong)",4,0.496860770875088,8.74363224180622e-06,0.00591242828026249,2.20413078835642e-06
500,"Small-world",50,0.191904761904762,"3.06938775510204",0.494330630593408,-0.118503519429177,NA,"With (strong)",4,0.504796887033837,9.01656754702891e-06,0.00731589341582081,2.85155687246887e-06
501,"Small-world",50,0.188571428571429,"3.12326530612245",0.464001785020535,-0.21283255086072,NA,"With (weak)",4,0.526342514279149,8.87284719166753e-06,0.0215654940500275,2.39291630534442e-06
502,"Small-world",50,0.296190476190476,"3.40816326530612",0.522749875763515,0.048525214081827,NA,"With (weak)",4,0.545843975340925,8.77285352472198e-06,0.0190549829297997,2.07256077486024e-06
503,"Small-world",50,0.213333333333333,"3.21795918367347",0.513919622997881,-0.0188564476885644,NA,"With (weak)",4,0.485867060046026,8.81094418864776e-06,0.0159162812744971,2.4383757849967e-06
504,"Small-world",50,0.260666666666667,"3.22122448979592",0.481105951396264,-0.0290277991091998,NA,"With (weak)",4,0.468776849951575,8.7553926452407e-06,0.0153024143775415,2.21235501050928e-06
505,"Small-world",50,0.230666666666667,"3.12326530612245",0.42303850439259,-0.10041265474553,NA,"With (weak)",4,0.456008229144961,8.94427055926322e-06,0.016739244224353,2.661279611495e-06
506,"Small-world",50,0.224190476190476,"3.13061224489796",0.500184610783331,0.0804597701149425,NA,"With (weak)",4,0.499654253515408,8.88395784600112e-06,0.0109289632005536,2.39953656420747e-06
507,"Small-world",50,0.241333333333333,"3.3134693877551",0.477394125363167,-0.0666666666666668,NA,"With (weak)",4,0.579992684761243,8.64428955842659e-06,0.0192818547922444,1.66532201740272e-06
508,"Small-world",50,0.20047619047619,"3.07183673469388",0.452568466810832,0.0528735632183908,NA,"With (weak)",4,0.432889380777515,8.88395784600112e-06,0.0210600328073792,2.39953656420747e-06
509,"Small-world",50,0.215904761904762,"3.06040816326531",0.504756941330213,-0.0266786570743406,NA,"With (weak)",4,0.521663035413081,9.1728284394021e-06,0.0230584099297694,3.12558327806927e-06
510,"Small-world",50,0.259333333333333,"3.37714285714286",0.507470366920715,-0.093500430028259,NA,"With (weak)",4,0.500833782010288,8.72206339806792e-06,0.0233213069027008,1.84506627662289e-06
511,"Small-world",50,0.204,"3.21795918367347",0.482261129324886,-0.135918527222875,NA,"With (weak)",4,0.516359571299081,8.85538729975333e-06,0.0165864854068155,2.41345894785203e-06
512,"Small-world",50,0.194,"3.12081632653061",0.476782256875004,-0.0909935004642529,NA,"With (weak)",4,0.528184379301352,8.85538754665127e-06,0.0113832507996377,2.38721998788553e-06
513,"Small-world",50,0.206666666666667,"3.11918367346939",0.51926992601064,-0.136691477698921,NA,"With (weak)",4,0.535043544177695,9.07442481531628e-06,0.0249925437427541,2.64045631138908e-06
514,"Small-world",50,0.245333333333333,"3.23755102040816",0.532905437346518,-0.0751403655477242,NA,"With (weak)",4,0.475771581570778,8.92204949749398e-06,0.0227774971984313,2.62592326305819e-06
515,"Small-world",50,0.180666666666667,"3.08081632653061",0.449488168482101,0.00497512437810953,NA,"With (weak)",4,0.427701743318897,8.73317380550357e-06,0.0234567663434219,1.88822154357596e-06
516,"Small-world",50,0.307333333333333,"3.32163265306122",0.479796703425943,-0.101828308511927,NA,"With (weak)",4,0.53491023020796,8.85538655908419e-06,0.008939025662455,2.49051267174658e-06
517,"Small-world",50,0.127238095238095,"3.01877551020408",0.5202434733148,-0.0271518432996257,NA,"With (weak)",4,0.530254911344879,8.98395175984461e-06,0.0120797710585665,2.65323919000402e-06
518,"Small-world",50,0.16,"3.09224489795918",0.486770758838563,0.0609756097560976,NA,"With (weak)",4,0.510968041683547,8.77761494147497e-06,0.0311885307283259,2.1116841370745e-06
519,"Small-world",50,0.241333333333333,"3.18040816326531",0.514074786734013,0.0223463687150838,NA,"With (weak)",4,0.485376495969037,8.96649186793041e-06,0.0059617059483839,2.67252180046872e-06
520,"Small-world",50,0.174952380952381,"3.12734693877551",0.506768963566749,-0.0678459713083811,NA,"With (weak)",4,0.485895862757967,8.89506701897174e-06,0.00600734255941351,2.55832267940967e-06
521,"Small-world",50,0.328666666666667,"3.40081632653061",0.506116853513516,-0.146475017111567,NA,"With (weak)",4,0.443490957605119,8.74428199090711e-06,0.0165566867208792,2.20451178792802e-06
522,"Small-world",50,0.239904761904762,"3.10612244897959",0.55765390105438,-0.0522984413323838,NA,"With (weak)",4,0.474114388715092,9.0506146982544e-06,0.00975317330247015,2.77759012974853e-06
523,"Small-world",50,0.286571428571429,"3.30938775510204",0.480669533698396,-0.128408734719465,NA,"With (weak)",4,0.481290783340176,8.86173653733393e-06,0.0228740789743888,2.38622489172332e-06
524,"Small-world",50,0.29,"3.20816326530612",0.450388482594582,-0.067438148443735,NA,"With (weak)",4,0.514686785550728,8.96649186793041e-06,0.0107970283013997,2.67252180046872e-06
525,"Small-world",50,0.260666666666667,"3.33795918367347",0.421613958884149,-0.122592167368287,NA,"With (weak)",4,0.511740435794804,8.75539387970573e-06,0.0331738085860425,2.06511888869982e-06
526,"Small-world",50,0.212380952380952,"3.13142857142857",0.434647497246993,-0.131780145686593,NA,"With (weak)",4,0.471646063952273,8.95617797872064e-06,0.0194265960727829,2.34715477895854e-06
527,"Small-world",50,0.234190476190476,"3.10285714285714",0.520029410572654,-0.0611236281706521,NA,"With (weak)",4,0.46884943601039,8.93871709923936e-06,0.00800319274367001,2.47278683859583e-06
528,"Small-world",50,0.226666666666667,"3.15836734693878",0.450443023307362,0.00479174345742721,NA,"With (weak)",4,0.519736111941077,8.74428347227008e-06,0.0154272961381661,2.02586001900914e-06
529,"Small-world",50,0.235333333333333,"3.16244897959184",0.49026863148104,-0.226309921962097,NA,"With (weak)",4,0.506092231564396,8.74428322537213e-06,0.0276836994694879,2.0567142686927e-06
530,"Small-world",50,0.211809523809524,"3.15183673469388",0.516180109388781,-0.155980271270037,NA,"With (weak)",4,0.513179634379762,9.12362465221268e-06,0.0224578783264404,3.06280790704024e-06
